Architecture,Iteration,Samples,Byte/thd,ChaseThds,ChaseNS,ChaseMibs,ChDeviate,LoadThds,LdMaxMibs,LdAvgMibs,LdDeviate,ChaseArg,MemLdArg
ARM,4,5,1073741824,1,421.259,18,0.001,19,161716,161697,0,chaseload,memcpy-libc
ARM,5,5,1073741824,1,431.994,18,0.047,19,161257,160868,0.008,chaseload,memcpy-libc
ARM,1,5,1073741824,1,447.437,17,0.129,23,158967,158241,0.009,chaseload,memcpy-libc
ARM,2,5,1073741824,1,435.448,18,0.004,23,159079,159067,0,chaseload,memcpy-libc
ARM,3,5,1073741824,1,436.914,17,0.194,23,159049,158462,0.008,chaseload,memcpy-libc
ARM,4,5,1073741824,1,438.783,17,0.056,23,159012,158819,0.004,chaseload,memcpy-libc
ARM,5,5,1073741824,1,459.178,17,0.229,23,158536,157723,0.013,chaseload,memcpy-libc
ARM,1,5,1073741824,1,483.302,16,0.047,27,156973,156878,0.002,chaseload,memcpy-libc
ARM,2,5,1073741824,1,475.348,16,0.03,27,157467,157241,0.002,chaseload,memcpy-libc
ARM,3,5,1073741824,1,459.466,17,0.033,27,157701,157602,0.002,chaseload,memcpy-libc
ARM,4,5,1073741824,1,459.166,17,0.013,27,157685,157660,0,chaseload,memcpy-libc
ARM,5,5,1073741824,1,459.598,17,0.004,27,157719,157691,0,chaseload,memcpy-libc
ARM,1,5,1073741824,1,480.335,16,0.008,31,156782,156754,0,chaseload,memcpy-libc
ARM,2,5,1073741824,1,482.667,16,0.004,31,156775,156741,0,chaseload,memcpy-libc
ARM,3,5,1073741824,1,480.403,16,0.011,31,156754,156741,0,chaseload,memcpy-libc
ARM,4,5,1073741824,1,480.146,16,0.006,31,156789,156772,0,chaseload,memcpy-libc
ARM,5,5,1073741824,1,480.403,16,0.072,31,156765,156726,0.001,chaseload,memcpy-libc
ARM,1,5,1073741824,1,134.628,57,0.001,0,0,0,0,chaseload,memset-libc
ARM,2,5,1073741824,1,135.2,56,0.001,0,0,0,0,chaseload,memset-libc
ARM,3,5,1073741824,1,134.642,57,0.001,0,0,0,0,chaseload,memset-libc
ARM,4,5,1073741824,1,134.635,57,0.001,0,0,0,0,chaseload,memset-libc
ARM,5,5,1073741824,1,134.601,57,0.001,0,0,0,0,chaseload,memset-libc
ARM,1,5,1073741824,1,159.112,48,0.001,3,102929,102918,0,chaseload,memset-libc
ARM,2,5,1073741824,1,159.194,48,0.001,3,102924,102914,0,chaseload,memset-libc
ARM,3,5,1073741824,1,159.095,48,0,3,102928,102917,0,chaseload,memset-libc
ARM,4,5,1073741824,1,159.233,48,0.001,3,102937,102915,0,chaseload,memset-libc
ARM,5,5,1073741824,1,159.31,48,0.001,3,102936,102925,0,chaseload,memset-libc
ARM,1,5,1073741824,1,282.899,27,0.001,7,167654,167514,0.002,chaseload,memset-libc
ARM,2,5,1073741824,1,282.216,27,0.001,7,167627,167579,0.001,chaseload,memset-libc
ARM,3,5,1073741824,1,283.389,27,0.001,7,167603,167561,0.001,chaseload,memset-libc
ARM,4,5,1073741824,1,282.545,27,0.001,7,167630,167568,0.001,chaseload,memset-libc
ARM,5,5,1073741824,1,282.31,27,0.004,7,167619,167508,0.002,chaseload,memset-libc
ARM,1,5,1073741824,1,300.663,25,0.003,11,167078,166976,0.001,chaseload,memset-libc
